Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,1802.00,3577.00,2198.00,-2768072.00,2198.00
4000.00,1803.00,3576.00,2197.00,-2774668.00,2197.00
4000.00,1762.00,3575.00,2238.00,-2781177.00,2238.00
4000.00,1803.00,3574.00,2197.00,-2787973.00,2197.00
4000.00,1802.00,3573.00,2198.00,-2794562.00,2198.00
4000.00,1803.00,3572.00,2197.00,-2801158.00,2197.00
4000.00,1801.00,3571.00,2199.00,-2807745.00,2199.00
4000.00,1800.00,3570.00,2200.00,-2814340.00,2200.00
4000.00,1800.00,3569.00,2200.00,-2820940.00,2200.00
4000.00,1799.00,3568.00,2201.00,-2827538.00,2201.00
4000.00,1797.00,3567.00,2203.00,-2834137.00,2203.00
4000.00,1763.00,3566.00,2237.00,-2840678.00,2237.00
4000.00,1800.00,3565.00,2200.00,-2847463.00,2200.00
4000.00,1800.00,3564.00,2200.00,-2854063.00,2200.00
